Date,Depth [m],Temp. [degC],Sal.,Cond. [mS/cm],EC25 [�S/cm],Density [kg/m3],SigmaT,Chl-Flu. [ppb],Chl-a [�g/l],Turb. [FTU],pH,ORP [mV],DO [%],DO [mg/l],Quant. [�mol/(m2*s)],Depth [m],,,
4/1/1980 21:07,3.837,22.62,0.533,1.025,1081.7,998.051,0,3.176,3.176,5.645,8.948,-5.035,96.803,8.32,34.909,3.837,,,
4/1/1980 21:07,3.868,22.618,0.533,1.025,1081.8,998.052,0,3.251,3.251,6.401,8.948,-5.035,96.732,8.314,34.158,3.868,,,
4/1/1980 21:07,3.902,22.616,0.533,1.025,1081.8,998.052,0,3.386,3.386,5.705,8.948,-4.959,96.586,8.302,33.219,3.902,,,
4/1/1980 21:07,3.942,22.614,0.533,1.025,1081.6,998.053,0,3.273,3.273,5.645,8.948,-4.882,96.634,8.306,32.281,3.942,,,
4/1/1980 21:07,3.992,22.611,0.533,1.025,1081.8,998.054,0,3.221,3.221,5.616,8.947,-4.806,96.504,8.296,31.061,3.992,,,
4/1/1980 21:07,4.036,22.608,0.533,1.025,1082,998.055,0,3.296,3.296,5.838,8.947,-4.692,96.418,8.289,29.935,4.036,,,
4/1/1980 21:07,4.065,22.606,0.533,1.025,1082,998.055,0,3.206,3.206,6.09,8.946,-4.615,96.254,8.275,29.091,4.065,,,
4/1/1980 21:07,4.08,22.606,0.533,1.025,1081.8,998.055,0,3.243,3.243,6.371,8.946,-4.539,96.185,8.269,28.621,4.08,,,
4/1/1980 21:07,4.099,22.605,0.533,1.025,1081.9,998.056,0,3.198,3.198,5.912,8.945,-4.463,96.073,8.26,28.246,4.099,,,
4/1/1980 21:07,4.112,22.602,0.533,1.025,1082,998.057,0,3.281,3.281,5.942,8.945,-4.386,96.026,8.257,27.871,4.112,,,
4/1/1980 21:07,4.122,22.597,0.533,1.025,1082.3,998.058,0,3.281,3.281,5.942,8.944,-4.31,95.984,8.253,27.589,4.122,,,
4/1/1980 21:07,4.137,22.595,0.533,1.025,1082.2,998.058,0,3.311,3.311,5.616,8.944,-4.272,95.991,8.253,27.308,4.137,,,
4/1/1980 21:07,4.164,22.593,0.533,1.025,1082.2,998.059,0,3.206,3.206,5.764,8.944,-4.234,95.826,8.24,26.838,4.164,,,
4/1/1980 21:07,4.206,22.591,0.533,1.025,1082.5,998.06,0,3.153,3.153,5.749,8.943,-4.196,95.876,8.245,26.088,4.206,,,
4/1/1980 21:07,4.257,22.588,0.533,1.025,1082.4,998.061,0,3.678,3.678,5.571,8.943,-4.081,95.634,8.225,24.774,4.257,,,
